"Venite"                                                                     ,"heading"
"都來頌"                                                                     ,"subheading"  ,
"Officiant and People, all standing"                                         ,"rubric"      ,
"", "spacer"
"來啊，我們要向耶和華歌唱，*"                                                ,"congregation","hangingIndent"
"向拯救我們的磐石歡呼！"                                                     ,"congregation","indent"
"我們要來感謝祂，*"                                                           ,"congregation","hangingIndent"
"用詩歌向祂歡呼！"                                                           ,"congregation","indent"
"因耶和華為大神，*"                                                           ,"congregation","hangingIndent"
"為大王，超乎萬神之上。"                                                     ,"congregation","indent"
"地的深處在祂手中；*"                                                         ,"congregation","hangingIndent"
"山的高峰也屬祂。"                                                           ,"congregation",true
"海洋屬祂，是祂造的，*"                                                       ,"congregation","hangingIndent"
"旱地也是祂手造成的。"                                                        ,"congregation","indent"
"來啊，我們要屈身敬拜，*"                                                     ,"congregation","hangingIndent"
"在造我們的耶和華面前跪下。"                                                  ,"congregation","indent"
"因為祂是我們的上帝，*"                                                       ,"congregation","hangingIndent"
"我們是祂草場的羊，"                                                          ,"congregation","hangingIndent"
"是祂手下的民。"                                                              ,"congregation","indent"
"惟願你們今天聽祂的話：你們不可硬着心，*"                                     ,"congregation","hangingIndent"
"像當日在米利巴，就是在曠野的瑪撒。"                                          ,"congregation","indent"
"那時，你們的祖宗試我探我，*"                                                 ,"congregation","hangingIndent"
"並且觀看我的作為。"                                                          ,"congregation","indent"
"四十年之久，我厭煩那世代，說：*"                                             ,"congregation","hangingIndent"
"這是心裏迷糊的百姓，竟不曉得我的作為！"                                      ,"congregation","indent"
"所以，我在怒中起誓，說：*"                                                   ,"congregation","hangingIndent"
"他們斷不可進入我的安息！"                                                    ,"congregation","indent"
