"Padre nuestro que estás en el cielo,"          ,"congregation","hangingIndent"
"santificado sea tu Nombre,"         ,"congregation","indent"
"venga tu reino,"             ,"congregation","indent"
"hágase tu voluntad,"             ,"congregation","indent"
"en la tierra como en el cielo."  ,"congregation","indent"
"Danos hoy nuestro pan de cada día.","congregation","hangingIndent"
"Perdona nuestras ofensas,"       ,"congregation","hangingIndent"
"como también nosotros perdonamos"           ,"congregation","indent"
"a los que nos ofenden."           ,"congregation","indent"
"No nos dejes caer en tentación","congregation","hangingIndent"
"y líbranos del mal."     ,"congregation","indent"
"Porque tuyo es el reino,"    ,"congregation","hangingIndent"
"tuyo es el poder,"       ,"congregation","indent"
"y tuya es la gloria,"       ,"congregation","indent"
"ahora y por siempre. Amén."       ,"congregation","indent"
